Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Default)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	Condition Name	Condition Type	Condition Name	Condition Type	KC (Tokens)	KC Category (Tokens)	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	KC (Intro CS Concepts)	KC Category (Intro CS Concepts)	KC (Tokens Merged)	KC Category (Tokens Merged)	School	Class	Event Type
1	All Data	ab7c26ad2438878ad980d5edba85089a	S002	1	2016-02-05 19:46:00		0	ATTEMPT		RESULT		programming	nearestBusStop	1	2016-02-05 19:46:00	Number	1	1	CORRECT			def nearestBusStop(street):\n    a = street % 8\n    if a > 4:\n        return street + (8 - a)\n    else:\n\t    return street - a					hint_first		novice_class		Number		Single-KC		KC18		Data Types and Structures		Number				
2	All Data	6c68fe52fa0097a8546f9347282f78e0	S002	1	2016-02-05 19:46:00		0	ATTEMPT		RESULT		programming	nearestBusStop	1	2016-02-05 19:46:00	Multiply	1	1	INCORRECT			def nearestBusStop(street):\n    a = street % 8\n    if a > 4:\n        return street + (8 - a)\n    else:\n\t    return street - a	Omission Error				hint_first		novice_class		Multiply		Single-KC		KC132		Arithmetic Operations		Multiply				
3	All Data	1b3e14233b86627b62cd8047b5613f08	S002	1	2016-02-05 19:46:00		0	ATTEMPT		RESULT		programming	nearestBusStop	1	2016-02-05 19:46:00	Binary Operation	1	1	CORRECT			def nearestBusStop(street):\n    a = street % 8\n    if a > 4:\n        return street + (8 - a)\n    else:\n\t    return street - a					hint_first		novice_class		Binary Operation		Single-KC		KC150		Arithmetic Operations		Binary Operation				
4	All Data	c7163e028acf8c37fb7a6f093ace20fa	S002	1	2016-02-05 19:46:00		0	ATTEMPT		RESULT		programming	nearestBusStop	1	2016-02-05 19:46:00	Load	1	1	CORRECT			def nearestBusStop(street):\n    a = street % 8\n    if a > 4:\n        return street + (8 - a)\n    else:\n\t    return street - a					hint_first		novice_class		Load		Single-KC		KC92		Programming Language Fundamentals		Load				
5	All Data	9494a42081f19655a83a055dc39e5b1a	S002	1	2016-02-05 19:46:00		0	ATTEMPT		RESULT		programming	nearestBusStop	1	2016-02-05 19:46:00	Return	1	1	CORRECT			def nearestBusStop(street):\n    a = street % 8\n    if a > 4:\n        return street + (8 - a)\n    else:\n\t    return street - a					hint_first		novice_class		Return		Single-KC		KC7		Class and Functions		Function Definition				
6	All Data	8f1106118e9a76c792c1ab882ae568c2	S002	1	2016-02-05 19:46:00		0	ATTEMPT		RESULT		programming	nearestBusStop	1	2016-02-05 19:46:00	Name	1	1	CORRECT			def nearestBusStop(street):\n    a = street % 8\n    if a > 4:\n        return street + (8 - a)\n    else:\n\t    return street - a					hint_first		novice_class		Name		Single-KC		KC166		Variables		Name				
7	All Data	4608f7ac632c55ba58db73aa0ba6d9d9	S002	1	2016-02-05 19:46:00		0	ATTEMPT		RESULT		programming	nearestBusStop	1	2016-02-05 19:46:00	Add	1	1	CORRECT			def nearestBusStop(street):\n    a = street % 8\n    if a > 4:\n        return street + (8 - a)\n    else:\n\t    return street - a					hint_first		novice_class		Add		Single-KC		KC144		Arithmetic Operations		Add				
8	All Data	f9ab6e782933c89ccd192ec0ca8b9617	S002	1	2016-02-05 19:46:00		0	ATTEMPT		RESULT		programming	nearestBusStop	1	2016-02-05 19:46:00	Integer Divide	1	1	INCORRECT			def nearestBusStop(street):\n    a = street % 8\n    if a > 4:\n        return street + (8 - a)\n    else:\n\t    return street - a	Omission Error				hint_first		novice_class		Integer Divide		Single-KC		KC183		Arithmetic Operations		Integer Divide				
9	All Data	92d0e07c0327a5511c2a5654882710a2	S002	1	2016-02-05 19:48:00		24	ATTEMPT		RESULT		programming	backwardsCombine	1	2016-02-05 19:46:00	Name	1	1	CORRECT			def backwardsCombine(s1, s2):\n\treturn s2 + s1\					hint_first		novice_class		Name		Single-KC		KC102		Variables		Name				
10	All Data	789355dca708b34ffbc501fde5da5b4b	S002	1	2016-02-05 19:48:00		24	ATTEMPT		RESULT		programming	backwardsCombine	1	2016-02-05 19:46:00	Add	1	1	CORRECT			def backwardsCombine(s1, s2):\n\treturn s2 + s1\					hint_first		novice_class		Add		Single-KC		KC180		Arithmetic Operations		Add				
